Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
23917,-3.91,0.00,14.70,13.76,189,1.02,2672,0.00,33.00,8.62,118,1.00,13.93,-0.73,45.44,2.62,0.00,27.45,80.27
24236,-3.12,0.00,14.70,13.92,189,1.02,2670,0.00,33.00,8.56,118,1.00,13.93,-0.73,46.74,2.66,0.00,27.45,79.81
24555,-3.12,0.00,14.59,13.84,189,1.04,2705,0.00,33.00,8.56,118,1.00,14.07,-0.73,46.72,2.66,0.00,27.45,78.69
24874,-3.12,0.00,14.59,13.92,189,1.04,2738,0.00,33.00,8.89,118,1.00,13.93,-0.73,47.66,2.68,0.00,27.45,80.56
25191,-3.12,0.00,14.59,13.84,189,1.04,2808,0.00,33.00,8.91,118,1.00,13.93,-0.73,48.59,2.68,0.00,27.45,80.17
25512,-4.69,0.00,14.47,13.92,189,1.04,2834,0.00,33.00,8.96,118,1.00,13.93,-0.73,49.06,2.70,0.00,27.84,78.96
25830,-5.47,0.00,14.36,13.68,189,1.04,2868,0.00,33.50,9.12,118,1.00,14.07,-0.73,49.66,2.70,0.00,27.84,78.83
26149,-7.03,0.00,14.47,13.92,189,1.05,2896,0.00,33.50,9.36,118,1.50,14.07,-0.58,50.58,2.72,0.00,28.24,79.89
26467,-10.16,0.78,14.36,13.76,189,0.72,2942,0.00,37.00,6.82,120,1.50,10.74,-4.64,26.49,2.42,0.00,9.80,37.52
26786,0.00,0.78,12.75,13.92,189,0.20,2920,0.00,32.00,2.52,120,0.00,4.93,-9.72,9.92,1.66,0.00,7.84,44.60
27105,0.00,0.78,13.78,13.92,189,0.23,2830,0.00,24.00,2.38,120,0.00,4.79,-10.01,11.03,1.72,0.00,7.84,53.63
27425,0.00,0.78,14.59,13.84,189,0.70,2628,0.00,43.50,6.17,120,0.00,9.00,-5.66,30.51,2.36,0.00,18.04,81.31
27742,0.00,0.78,14.47,13.76,189,0.84,2446,0.00,36.50,6.90,120,1.00,11.46,-3.19,34.82,2.44,0.00,21.18,77.32
28061,0.00,0.78,14.93,13.84,189,0.86,2519,0.00,35.00,7.41,120,1.50,12.33,-2.47,35.93,2.48,0.00,21.96,76.87
28380,0.00,0.78,14.70,13.76,189,0.89,2511,0.00,35.00,7.50,120,1.50,12.48,-2.32,36.92,2.48,0.00,22.35,74.72
28699,-1.56,0.78,14.47,13.84,189,0.88,2519,0.00,34.50,7.59,120,1.50,12.62,-2.18,37.05,2.50,0.00,22.35,75.02
29018,-2.34,0.78,14.47,13.76,189,0.89,2567,0.00,35.00,7.58,120,1.50,12.62,-2.18,37.42,2.50,0.00,22.35,75.35
29336,-1.56,0.78,14.59,13.76,189,0.88,2584,0.00,35.00,7.72,120,1.50,12.62,-2.18,38.41,2.50,0.00,22.35,74.57
29656,-3.12,0.78,14.59,13.68,189,0.88,2563,0.00,35.00,7.76,120,1.50,12.62,-2.18,38.29,2.52,0.00,22.35,75.38
29975,-2.34,0.78,14.59,13.84,189,0.89,2589,0.00,35.00,7.73,120,1.50,12.48,-2.18,38.41,2.52,0.00,22.35,75.46
30294,-2.34,0.78,14.59,13.76,189,0.90,2614,0.00,35.00,7.76,120,1.50,12.48,-2.18,38.29,2.52,0.00,22.35,75.59
30612,-1.56,0.78,14.70,13.84,189,0.88,2655,0.00,35.00,7.86,120,1.50,12.48,-2.32,39.03,2.52,0.00,22.35,76.63
30931,-1.56,0.78,14.59,13.84,189,0.90,2650,0.00,35.00,7.85,120,1.50,12.48,-2.32,39.28,2.54,0.00,22.35,75.90
31251,-2.34,0.78,14.70,13.76,189,0.89,2666,0.00,35.00,7.96,120,1.50,12.33,-2.32,39.16,2.52,0.00,22.35,76.78
31569,-1.56,0.78,14.70,13.76,189,0.89,2664,0.00,35.00,8.04,120,1.50,12.48,-2.32,40.09,2.54,0.00,22.75,77.32
